row 1 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 2 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 3 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 4 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 5 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 6 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 7 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 8 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 9 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 10 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 11 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 12 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 13 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 14 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 15 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 16 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 17 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 18 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 19 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 20 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 21 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 22 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 23 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 24 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 25 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 26 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 27 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 28 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 29 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 30 of 1575: direction = forward, alpha = 0.0135, n = 30, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 31 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 32 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 33 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 34 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 35 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 36 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 37 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 38 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 39 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 40 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 41 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 42 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 43 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 44 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 45 of 1575: direction = forward, alpha = 0.00899, n = 30, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 46 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 47 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 48 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 49 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 50 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 51 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 52 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 53 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 54 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 55 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 56 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 57 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 58 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 59 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 60 of 1575: direction = forward, alpha = 0.00675, n = 30, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 61 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 62 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 63 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 64 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 65 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 66 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 67 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 68 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 69 of 1575: direction = forward, alpha = 0.00325, n = 30, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
